review,rating,sentiment
"5 stars, you can have anything you want at ..., doesn't fit but you get it.Both breaky and burger/handhelds, bring it. Obviously issues with being able to choose, not cool, first food world problems.We started with the potato puck appetizer, good , it's fried potatoes and cheese , I mean, no brainer. A smidge pricey for the two disc, I know, but for 11$, it's not worth it ($3 each would, just saying) The main course, ah, so good, thank you staff at gb! My cheeseburger was delicious, pink, perfect. The char flavor, chef kiss! The fries, also top shelf. Totally on price. chicken and waffles, well this was my issue, this combo went so well together, I felt my burger was being overshadowed, which wouldn't have been justified. Great malt in that waffle. Crab po boy and chicken sandwich were also notable, but I didn't personally try them.I could see coming here strictly for breakfast or going half and half, being right Either way.Parking is street, good luck with that weather prevailing, but this part of main street is fun , so make a day/night/brunch/linner eats kinda of moment.",5.0,1
"We have come here serval times and each time has been great. Solid service, great food, and quick turn around time as well. It can get really busy on the weekends so heads up there may be a wait! Otherwise on a Thursday it was a 5 min wait for a booth and no wait for the bar. We ordered:- potato, pancake- Chicken and waffles Yum! My family has been here for 100 years  i look forward to coming here when I visit. Enjoy!!",5.0,1
"Delicious fresh food and full bar! The fried chicken sandwich was fresh and light, not greasy at all! My husband had breakfast for dinner and the bacon was fresh and crisp. The staff was friendly and knowledgeable too! Great place!",5.0,1
"Enjoyable breakfast for dinner on a snowy Sunday evening! For $11, a big plate with very good thick cut bacon, soft scrambled eggs, and Berkshire Mountain Bakery Toast. Friendly service and casual ambiance.",4.0,1
Cute restaurant but food was just A-Ok. Roasted veggie salad was just fine-- veggies could have been warmer and more flavorful. Pork banh mi sandwich was tasty but didn't taste authentic. Corn beef hash was good.,3.0,0
"Fantastic sandwiches, and excellent service. The fried chicken sandwich did not disappoint.",5.0,1
"Food fresh and excellent.  I had breakfast, hash and eggs.  Homemade hash was very good, always an indicator for a breakfast spot.  Nice location on Main Street in Great Barrington.  Very walkable town.",5.0,1
"This a great place to grab brunch in the heart of town. We were seated right away and the service was incredibly friendly. The food was absolutely delicious - we had the corned beef hash meal, the 2 eggs with sausage meal, coffee, and fresh squeezed orange juice. Everything tasted liked it was made from the freshest of ingredients :)I'll definitely be stopping by here again when I'm in the area and I highly recommend.",5.0,1
"Discovered GB eats after we asked for recommendations from a waitress at a different restaurant, & we opted to have dinner here. While it wasn't our first choice for dinner that night, I was pleasantly surprised by our dining experience! To start, the menu here is extensive, providing all day breakfast favorites as well as more savory lunch and dinner options. I opted for The Basic (2 eggs, sausage patties, mixed greens, and sourdough toast) and honestly this was a lot of food for $10.99. The food itself wasn't mindblowing or life changing by any means, but it was decent! And it was exactly what I needed since I wasn't super hungry. My boyfriend ordered the steak frites, and it also was decent. The steak had a bit of a hamburger-y taste to it, but could be masked by the onions. Definitely have to commend them for their fresh OJ though - it had the perfect amount of sweetness!Overall, the food is pretty decent for cafe/diner food, and the servers were kind. That's really all we could ask for after a ski trip.",4.0,1
GB Eats is always delicious and has something for everyone! We particularly enjoy breakfast and lunch. Just love this place!,5.0,1
